Ticker,Current Price,Forward PE,analyst target price,beta,analyst sentiment,quarterly_earnings_growth,quarterly_revenue_growth,revenue_per_share_ttm,last_quarter_report_date,fiscal_date_ending,reported_eps,estimated_eps,earnings_surprise,earnings_surprise_percent,last_quarter,last_quarter_revenue,last_quarter_net_income,last_quarter_gross_profit,last_quarter_operating_income,last_quarter_net_margin,last_quarter_gross_margin,last_quarter_total_assets,last_quarter_total_debt,last_quarter_cash,market_cap,shares_outstanding,sector
PLTR,154.27,277.78,113.54,2.593,Overvalued,1.0,0.393,1.364,N/A,N/A,,,,,2025-03-31,883855000.0,214031000.0,710885000.0,176048000.0,24.21562360341911,80.4300479150992,6736917000.0,244596000.0,,364063293000.0,2262910000.0,TECHNOLOGY
PWR,395.17,38.02,412.75,1.078,Hold,0.206,0.211,176.06,N/A,N/A,,,,,2025-06-30,6773007000.0,229250000.0,1007574000.0,370282000.0,3.3847595314754586,14.876317121774715,19891264000.0,453547000.0,,58882703000.0,149006000.0,REAL ESTATE & CONSTRUCTION
RBLX,125.03,192.31,139.45,1.608,Buy,0.0,0.209,6.03,N/A,N/A,,,,,2025-06-30,1080677000.0,-278375000.0,844564000.0,-322460000.0,-25.759315688221363,78.1513810324454,7845571000.0,641132000.0,,86676668000.0,645033000.0,TECHNOLOGY
RKLB,44.81,,37.27,2.159,Overvalued,0.0,0.321,0.932,N/A,N/A,,,,,2025-03-31,122569000.0,-60616000.0,35247000.0,-59188000.0,-49.454592923169805,28.756863480978062,1254973000.0,489684000.0,,21479182000.0,479339000.0,REAL ESTATE & CONSTRUCTION
RMBS,72.41,20.45,78.25,1.238,Hold,0.606,0.303,6.02,N/A,N/A,,,,,2025-06-30,172209000.0,57935000.0,137439000.0,62993000.0,33.64226027675673,79.80941762625646,1467811000.0,27936000.0,,7790882000.0,107594000.0,MANUFACTURING
RYTM,88.3,,104.57,2.268,Buy,0.0,0.259,2.217,N/A,N/A,,,,,2025-03-31,32704000.0,-49498000.0,29056000.0,-47004000.0,-151.35151663405088,88.84540117416829,386685000.0,4063000.0,,5826838000.0,65989000.0,LIFE SCIENCES
SFM,154.08,30.96,183.43,0.777,Buy,0.436,0.173,84.77,N/A,N/A,,,,,2025-06-30,2220602000.0,133703000.0,862600000.0,179356000.0,6.021024929275935,38.84532212436087,3783228000.0,1755831000.0,,15057653000.0,97726000.0,TRADE & SERVICES
SHOP,118.6,85.47,120.36,2.615,Hold,0.948,0.268,7.26,N/A,N/A,,,,,2025-03-31,2360000000.0,-682000000.0,1169000000.0,203000000.0,-28.89830508474576,49.53389830508475,13400000000.0,1138000000.0,,153183764000.0,1218140000.0,TECHNOLOGY
SNEX,96.96,,111.0,0.54,Buy,0.294,0.675,2626.42,N/A,N/A,,,,,2025-03-31,36890700000.0,71700000.0,590800000.0,430600000.0,0.19435792760777107,1.6014876378057343,31282900000.0,13970500000.0,,4742953000.0,48916600.0,FINANCE
SNOW,205.02,181.82,233.69,1.222,Buy,0.0,0.257,11.55,N/A,N/A,,,,,2025-04-30,1042074000.0,-430092000.0,693288000.0,-447257000.0,-41.27269272623633,66.52963225260395,8157407000.0,2687763000.0,,68406563000.0,333658000.0,TECHNOLOGY
