Price,Close,High,Low,Open,Volume
1999-01-04,0.40349987149238586,0.4103095485706254,0.40349987149238586,0.4103095485706254,710400
1999-01-05,0.4017976224422455,0.4035000489551825,0.40094596755038175,0.4035000489551825,1331200
1999-01-06,0.40945878624916077,0.41371438313867054,0.400945799950757,0.4017974544866201,1702400
1999-01-07,0.4120120406150818,0.4145660953289044,0.40860718853895384,0.41286366929084045,7136000
1999-01-08,0.41882240772247314,0.4205248330761958,0.413714274369651,0.41541758299356274,748800
1999-01-11,0.4247814416885376,0.42733463886283124,0.42392981309534367,0.4256322389683589,704000
1999-01-12,0.4230790436267853,0.42903794986483806,0.4230790436267853,0.428186295289412,467200
1999-01-13,0.4358476400375366,0.4358476400375366,0.41967334673508105,0.41967334673508105,614400
1999-01-14,0.4435088634490967,0.44946776839627356,0.4366991614027209,0.43925238401351374,256000
1999-01-15,0.45542681217193604,0.45627844084393443,0.4426582012861073,0.4426582012861073,313600
1999-01-19,0.4622364640235901,0.46223646402359003,0.45627838924714953,0.45627838924714953,224000
1999-01-20,0.46989870071411133,0.4707494981094376,0.46308816498407335,0.4656422197970233,422400
1999-01-21,0.45542681217193604,0.46649299702721764,0.45542681217193604,0.46649299702721764,435200
1999-01-22,0.4511703550815582,0.45457520732107737,0.4511703550815582,0.45457520732107737,217600
1999-01-25,0.43244272470474243,0.4511702384962814,0.43244272470474243,0.4511702384962814,768000
1999-01-26,0.441806435585022,0.4426580639928823,0.43329347675918495,0.43329347675918495,467200
1999-01-27,0.4375501275062561,0.4452114609242274,0.4375501275062561,0.4452114609242274,403200
1999-01-28,0.43840157985687256,0.43840157985687256,0.43754995145818715,0.43754995145818715,192000
1999-01-29,0.4435088634490967,0.4435088634490967,0.43584753299032586,0.4375499585019198,780800
1999-02-01,0.4401041269302368,0.4426581815187284,0.43925249829626883,0.4426581815187284,89600
1999-02-02,0.4307403564453125,0.43669923643782643,0.42733462156666907,0.43669923643782643,614400
1999-02-03,0.4290379583835602,0.43159115561960865,0.42818630379122413,0.4307403842977524,1030400
1999-02-04,0.4247814416885376,0.4290379480063049,0.42222738722232844,0.4290379480063049,1798400
1999-02-05,0.4247814416885376,0.4264838675615529,0.42392981309534367,0.4247814416885376,582400
1999-02-08,0.4409548044204712,0.4409548044204712,0.43244267696104066,0.43244267696104066,934400
1999-02-09,0.45202183723449707,0.45627831681052045,0.4409548240741917,0.4409548240741917,467200
1999-02-10,0.44946783781051636,0.45202189212894456,0.44946783781051636,0.45202189212894456,524800
1999-02-11,0.4469138979911804,0.4503195817260605,0.4469138979911804,0.4494679529639561,985600
1999-02-12,0.4545751214027405,0.46479050750400125,0.44861621545311636,0.44861621545311636,1625600
1999-02-16,0.4758566915988922,0.4784107459565739,0.4750058943552232,0.4784107459565739,1216000
1999-02-17,0.500544011592865,0.502246437623461,0.47926243924024037,0.47926243924024037,1318400
1999-02-18,0.503948986530304,0.5226765087465808,0.5005441336389177,0.5175692294095013,2041600
1999-02-19,0.503948986530304,0.5073538394216902,0.5022465600846108,0.5048006154099767,620800
1999-02-22,0.5030970573425293,0.5073535365728157,0.5030970573425293,0.5073535365728157,1273600
1999-02-23,0.5030970573425293,0.5243794534939614,0.5030970573425293,0.503948685713849,1401600
1999-02-24,0.48436951637268066,0.5022462292472705,0.48351871936709334,0.5022462292472705,1049600
1999-02-25,0.48436951637268066,0.4903284206642106,0.4818154627297094,0.4877743670212393,492800
1999-02-26,0.48777446150779724,0.48777446150779724,0.48351881302929167,0.48351881302929167,582400
1999-03-01,0.4920305013656616,0.4920305013656616,0.49032807723377636,0.4911797049559802,320000
1999-03-02,0.48522138595581055,0.494585145551799,0.48522138595581055,0.49288271938103,332800
1999-03-03,0.4767081141471863,0.4852210707850385,0.4767081141471863,0.4852210707850385,921600
1999-03-04,0.4758566915988922,0.4758566915988922,0.4750058943552232,0.4750058943552232,377600
1999-03-05,0.4826671779155731,0.4826671779155731,0.47670827255159975,0.47670827255159975,352000
1999-03-08,0.493733286857605,0.49713896892649373,0.48351873459033134,0.48351873459033134,358400
1999-03-09,0.4954361915588379,0.5013951018030911,0.4954361915588379,0.4971394498977118,179200
1999-03-10,0.500544011592865,0.503948863654057,0.49628753085965016,0.49628753085965016,665600
1999-03-11,0.500544011592865,0.502246437623461,0.49969238292084217,0.502246437623461,236800
1999-03-12,0.49884167313575745,0.5056513784536103,0.49713924680629423,0.5005440994652207,1273600
1999-03-15,0.503948986530304,0.503948986530304,0.49543602298818595,0.49543602298818595,640000
1999-03-16,0.5056513547897339,0.5073537810395257,0.5039489285399422,0.5039489285399422,467200
1999-03-17,0.500544011592865,0.5090561417458451,0.500544011592865,0.5048004923260798,755200
1999-03-18,0.500544011592865,0.5013948089514382,0.500544011592865,0.5013948089514382,64000
1999-03-19,0.48692381381988525,0.49713920219354185,0.48692381381988525,0.49713920219354185,550400
1999-03-22,0.4809648394584656,0.48436969133692637,0.48011321083214786,0.48351889402401366,800000
1999-03-23,0.4801134467124939,0.4801134467124939,0.47926264898158316,0.47926264898158316,268800
1999-03-24,0.4801134467124939,0.4801134467124939,0.47926264898158316,0.4801134467124939,640000
1999-03-25,0.4860720634460449,0.48692369197804886,0.4826672119446548,0.4826672119446548,345600
1999-03-26,0.4928826689720154,0.49373346631362647,0.48862618832366056,0.4894769856652717,403200
1999-03-29,0.49798983335494995,0.49798983335494995,0.49288255653011337,0.49288255653011337,224000
1999-03-30,0.500544011592865,0.500544011592865,0.49798995689024617,0.49798995689024617,153600
1999-03-31,0.520973801612854,0.520973801612854,0.4996922355372023,0.4996922355372023,2355200
1999-04-01,0.5397021770477295,0.5482143051946945,0.5345940688462968,0.5345940688462968,4780800
1999-04-05,0.529487133026123,0.53800009796995,0.529487133026123,0.5362968399301532,1068800
1999-04-06,0.5243797302246094,0.5414048248172435,0.5243797302246094,0.5328918618641291,2988800
1999-04-07,0.520973801612854,0.5252302810906252,0.5192713760843863,0.5252302810906252,742400
1999-04-08,0.5226762890815735,0.5294868233157372,0.5192714376211431,0.5209738633513583,1152000
1999-04-09,0.5448097586631775,0.5448097586631775,0.5252306060041121,0.5294870881149905,1056000
